# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.064104914665222168e-01 3.443089127540588379e-01 1.039006471633911133e+00
1.000000000000000000e+03 1.597666880115866661e-03 3.815978765487670898e-03 1.845182925462722778e-01
2.000000000000000000e+03 8.494396461173892021e-04 3.014192450791597366e-03 1.529378294944763184e-01
3.000000000000000000e+03 4.940820508636534214e-04 2.730338368564844131e-03 1.408542692661285400e-01
4.000000000000000000e+03 3.766805457416921854e-04 2.184252254664897919e-03 1.249853894114494324e-01
5.000000000000000000e+03 3.238935605622828007e-04 1.870808191597461700e-03 1.150349676609039307e-01
6.000000000000000000e+03 2.673405688256025314e-04 1.677092514000833035e-03 1.082251965999603271e-01
7.000000000000000000e+03 1.857484166976064444e-04 1.519988640211522579e-03 1.028373241424560547e-01
8.000000000000000000e+03 1.085911935660988092e-04 1.423540292307734489e-03 9.813011437654495239e-02
9.000000000000000000e+03 6.809510523453354836e-05 1.290187123231589794e-03 9.362816065549850464e-02
1.000000000000000000e+04 5.305010199663229287e-05 1.185735920444130898e-03 9.345953166484832764e-02
