# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.047913312911987305e-01 3.028394579887390137e-01 1.023606300354003906e+00
1.000000000000000000e+03 2.298313193023204803e-03 2.520054578781127930e-03 1.897847354412078857e-01
2.000000000000000000e+03 1.113087637349963188e-03 1.209627836942672729e-03 1.344575285911560059e-01
3.000000000000000000e+03 2.312194847036153078e-04 2.456965157762169838e-04 6.139983236789703369e-02
4.000000000000000000e+03 6.196694448590278625e-05 6.081091487430967391e-05 3.154190257191658020e-02
5.000000000000000000e+03 4.997239739168435335e-05 5.002006946597248316e-05 2.910379320383071899e-02
6.000000000000000000e+03 4.133602851652540267e-05 4.197645830572582781e-05 2.672088332474231720e-02
7.000000000000000000e+03 3.312007174827158451e-05 3.375677624717354774e-05 2.394783496856689453e-02
8.000000000000000000e+03 2.547220174164976925e-05 2.569363459770102054e-05 2.072014287114143372e-02
9.000000000000000000e+03 2.279217551404144615e-05 2.263740134367253631e-05 1.952968351542949677e-02
1.000000000000000000e+04 1.567975959915202111e-05 1.505631462350720540e-05 1.509790215641260147e-02
1.100000000000000000e+04 1.172134579974226654e-05 1.122022149502299726e-05 1.295604370534420013e-02
1.200000000000000000e+04 6.806183137086918578e-06 6.566942829522304237e-06 9.926336817443370819e-03
1.300000000000000000e+04 3.987282525486079976e-06 3.889551862812368199e-06 7.668041624128818512e-03
1.400000000000000000e+04 2.989888116644578986e-06 2.920857241406338289e-06 6.592564750462770462e-03
1.500000000000000000e+04 2.508440047677140683e-06 2.449569819873431697e-06 6.004869472235441208e-03
1.600000000000000000e+04 6.165452759887557477e-06 6.138870048744138330e-06 1.158893201500177383e-02
1.700000000000000000e+04 1.912306743179215118e-06 1.868759909484651871e-06 5.243626888841390610e-03
1.800000000000000000e+04 1.682422293924901169e-06 1.644936446609790437e-06 4.947135690599679947e-03
1.900000000000000000e+04 1.490217641730851028e-06 1.457226517231902108e-06 4.668175708502531052e-03
2.000000000000000000e+04 1.331945441052084789e-06 1.301573774981079623e-06 4.434584174305200577e-03
2.100000000000000000e+04 1.211287440128216986e-06 1.183000904347863980e-06 4.247756674885749817e-03
2.200000000000000000e+04 1.124337472901970614e-06 1.097886979550821707e-06 4.111424088478088379e-03
2.300000000000000000e+04 1.060985255207924638e-06 1.036458229464187752e-06 4.011243581771850586e-03
2.400000000000000000e+04 1.012144366541178897e-06 9.898978987621376291e-07 3.930472303181886673e-03
2.500000000000000000e+04 9.719173021949245594e-07 9.518667525298951659e-07 3.863039659336209297e-03
2.600000000000000000e+04 9.385609587297949474e-07 9.203040463034994900e-07 3.804835025221109390e-03
2.700000000000000000e+04 9.082889391720527783e-07 8.909933058021124452e-07 3.757579950615763664e-03
2.800000000000000000e+04 8.820891252980800346e-07 8.673854381413548253e-07 3.705424023792147636e-03
2.900000000000000000e+04 2.404388851573457941e-06 2.441035576339345425e-06 7.379459217190742493e-03
3.000000000000000000e+04 8.372822435376292560e-07 8.259655714937252924e-07 3.620178671553730965e-03
