# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.807381987571716309e-01 8.632382750511169434e-01 9.915713667869567871e-01
1.000000000000000000e+03 1.669028401374816895e-01 1.662699431180953979e-01 4.995601773262023926e-01
2.000000000000000000e+03 2.078203298151493073e-02 2.041309885680675507e-02 2.005329579114913940e-01
3.000000000000000000e+03 1.590533182024955750e-02 1.628114096820354462e-02 1.783817857503890991e-01
4.000000000000000000e+03 1.254808250814676285e-02 1.333043258637189865e-02 1.596006900072097778e-01
5.000000000000000000e+03 4.212578292936086655e-03 4.415126517415046692e-03 8.968988060951232910e-02
6.000000000000000000e+03 2.478309208527207375e-03 2.709126332774758339e-03 6.955234706401824951e-02
7.000000000000000000e+03 1.925527001731097698e-03 2.142286626622080803e-03 6.239721179008483887e-02
8.000000000000000000e+03 1.572113949805498123e-03 1.760201179422438145e-03 5.714417994022369385e-02
9.000000000000000000e+03 1.347016659565269947e-03 1.512523624114692211e-03 5.358363315463066101e-02
1.000000000000000000e+04 1.213025418110191822e-03 1.377182663418352604e-03 5.117734894156455994e-02
