# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.529532313346862793e-01 2.575683891773223877e-01 9.875302910804748535e-01
1.000000000000000000e+03 1.494033960625529289e-03 1.448287046514451504e-03 1.286063790321350098e-01
2.000000000000000000e+03 5.727561074309051037e-04 5.893149063922464848e-04 8.489655703306198120e-02
3.000000000000000000e+03 2.803448296617716551e-04 3.142648201901465654e-04 6.022665649652481079e-02
4.000000000000000000e+03 2.302252105437219143e-04 2.620806044433265924e-04 5.308396741747856140e-02
5.000000000000000000e+03 1.830876281019300222e-04 2.109819033648818731e-04 4.771479964256286621e-02
6.000000000000000000e+03 6.494102126453071833e-05 8.138055272866040468e-05 3.114458359777927399e-02
7.000000000000000000e+03 3.992357596871443093e-05 5.038256858824752271e-05 2.543367631733417511e-02
8.000000000000000000e+03 2.604056135169230402e-05 3.281866156612522900e-05 2.174425125122070312e-02
9.000000000000000000e+03 1.918517773447092623e-05 2.359835889365058392e-05 1.934180967509746552e-02
1.000000000000000000e+04 1.541109850222710520e-05 1.884515222627669573e-05 1.779802888631820679e-02
1.100000000000000000e+04 1.267828702111728489e-05 1.578645787958521396e-05 1.626679860055446625e-02
1.200000000000000000e+04 1.060807062458479777e-05 1.350309412373462692e-05 1.504930295050144196e-02
1.300000000000000000e+04 9.227043847204186022e-06 1.197265100927324966e-05 1.382683310657739639e-02
1.400000000000000000e+04 7.470918262697523460e-06 1.007460832624929026e-05 1.237865723669528961e-02
1.500000000000000000e+04 5.869630513188894838e-06 8.346862159669399261e-06 1.102298777550458908e-02
1.600000000000000000e+04 1.311082360189175233e-05 1.583332777954638004e-05 1.759614422917366028e-02
1.700000000000000000e+04 3.967084012401755899e-06 6.144633516669273376e-06 9.057043120265007019e-03
1.800000000000000000e+04 4.316271770221646875e-06 6.275999567151302472e-06 9.149393066763877869e-03
1.900000000000000000e+04 2.879100520658539608e-06 4.717534011433599517e-06 7.490722462534904480e-03
2.000000000000000000e+04 2.606178668429492973e-06 4.297663963370723650e-06 7.070000749081373215e-03
2.100000000000000000e+04 2.415385779386269860e-06 3.979230314143933356e-06 6.775673478841781616e-03
2.200000000000000000e+04 2.771124172795680352e-06 4.222292318445397541e-06 7.121955044567584991e-03
2.300000000000000000e+04 2.127213747371570207e-06 3.493714757496491075e-06 6.342149805277585983e-03
2.400000000000000000e+04 1.993966179725248367e-06 3.287764002379844896e-06 6.118433084338903427e-03
2.500000000000000000e+04 2.211460923717822880e-05 2.329628114239312708e-05 2.187156677246093750e-02
2.600000000000000000e+04 1.154144592874217778e-05 1.263215108338044956e-05 1.563130319118499756e-02
2.700000000000000000e+04 2.146247652490274049e-06 3.289696451247436926e-06 6.371845491230487823e-03
2.800000000000000000e+04 1.507777369624818675e-06 2.642408389874617569e-06 5.280845798552036285e-03
2.900000000000000000e+04 1.407472723258251790e-06 2.519147301427437924e-06 5.103483796119689941e-03
3.000000000000000000e+04 1.336312834609998390e-06 2.420737018837826326e-06 4.922188352793455124e-03
