# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.450494110584259033e-01 3.249109685420989990e-01 1.144084930419921875e+00
1.000000000000000000e+03 1.133612357079982758e-03 1.145843300037086010e-03 1.334540098905563354e-01
2.000000000000000000e+03 9.021324221976101398e-04 9.385486482642591000e-04 1.198693066835403442e-01
3.000000000000000000e+03 5.794676835648715496e-04 6.104275817051529884e-04 9.665661305189132690e-02
4.000000000000000000e+03 3.080070600844919682e-04 3.259300137870013714e-04 7.060584425926208496e-02
5.000000000000000000e+03 9.766255243448540568e-05 1.022889482555910945e-04 4.054193571209907532e-02
6.000000000000000000e+03 1.065380092768464237e-05 1.008619801723398268e-05 1.344637293368577957e-02
7.000000000000000000e+03 6.984296305745374411e-06 6.627622042287839577e-06 1.099574100226163864e-02
8.000000000000000000e+03 6.133995611889986321e-06 6.016302904754411429e-06 1.054506842046976089e-02
9.000000000000000000e+03 5.538322966458508745e-06 5.556378710025455803e-06 1.015617325901985168e-02
1.000000000000000000e+04 5.057489033788442612e-06 5.142770987731637433e-06 9.786319918930530548e-03
1.100000000000000000e+04 4.650259597838157788e-06 4.768248800246510655e-06 9.438656270503997803e-03
1.200000000000000000e+04 4.307532435632310808e-06 4.432452897162875161e-06 9.121870622038841248e-03
1.300000000000000000e+04 2.635594682942610234e-05 2.603375105536542833e-05 2.745144255459308624e-02
1.400000000000000000e+04 3.791544259001966566e-06 3.933877451345324516e-06 8.613237179815769196e-03
1.500000000000000000e+04 3.612758746385225095e-06 3.755580564757110551e-06 8.422654122114181519e-03
1.600000000000000000e+04 3.474589220786583610e-06 3.615170271586976014e-06 8.267240598797798157e-03
1.700000000000000000e+04 3.362676579854451120e-06 3.500638740661088377e-06 8.136313408613204956e-03
1.800000000000000000e+04 4.723179245047504082e-06 4.746110334963304922e-06 1.056257728487253189e-02
1.900000000000000000e+04 4.039515715703601018e-06 4.256130978319561109e-06 9.737960994243621826e-03
2.000000000000000000e+04 3.141118440908030607e-06 3.272674121035379358e-06 7.872988469898700714e-03
2.100000000000000000e+04 3.085149046455626376e-06 3.212053798051783815e-06 7.794574834406375885e-03
2.200000000000000000e+04 3.292396286269649863e-06 3.374468860783963464e-06 8.270652964711189270e-03
2.300000000000000000e+04 3.001356162712909281e-06 3.127268200842081569e-06 7.693919818848371506e-03
2.400000000000000000e+04 2.963011866086162627e-06 3.084962372668087482e-06 7.637274451553821564e-03
2.500000000000000000e+04 2.930662049038801342e-06 3.051640305784530938e-06 7.596475537866353989e-03
2.600000000000000000e+04 2.900263098126742989e-06 3.021617885679006577e-06 7.558289915323257446e-03
2.700000000000000000e+04 3.300035587017191574e-06 3.472618573141517118e-06 8.604666218161582947e-03
2.800000000000000000e+04 2.844704113158513792e-06 2.965629846585216001e-06 7.486417889595031738e-03
2.900000000000000000e+04 2.818289431161247194e-06 2.939557134595816024e-06 7.453209254890680313e-03
3.000000000000000000e+04 2.801138862196239643e-06 2.928619551312294789e-06 7.454070262610912323e-03
