# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.368537724018096924e-01 3.164756000041961670e-01 1.027216553688049316e+00
1.000000000000000000e+03 1.005921396426856518e-03 1.006078673526644707e-03 1.245492547750473022e-01
2.000000000000000000e+03 8.236340945586562157e-04 8.351559517905116081e-04 1.111889928579330444e-01
3.000000000000000000e+03 4.463889345061033964e-04 4.506980476435273886e-04 8.127741515636444092e-02
4.000000000000000000e+03 1.814459537854418159e-04 1.815265713958069682e-04 5.197905749082565308e-02
5.000000000000000000e+03 4.221044946461915970e-05 3.949162419303320348e-05 2.541081979870796204e-02
6.000000000000000000e+03 1.683663322182837874e-05 1.467937363486271352e-05 1.620163396000862122e-02
7.000000000000000000e+03 1.252393849426880479e-05 1.154073015641188249e-05 1.464282162487506866e-02
8.000000000000000000e+03 1.047949353960575536e-05 1.019456703943433240e-05 1.392346248030662537e-02
9.000000000000000000e+03 9.093829248740803450e-06 9.174366823572199792e-06 1.328710000962018967e-02
1.000000000000000000e+04 8.060401341936085373e-06 8.311266356031410396e-06 1.268164161592721939e-02
1.100000000000000000e+04 7.236175406433176249e-06 7.549617293989285827e-06 1.210037805140018463e-02
1.200000000000000000e+04 6.524415312014752999e-06 6.850249974377220497e-06 1.153279002755880356e-02
1.300000000000000000e+04 5.878882802790030837e-06 6.194959951244527474e-06 1.097131520509719849e-02
1.400000000000000000e+04 8.036320650717243552e-06 8.402786988881416619e-06 1.449645683169364929e-02
1.500000000000000000e+04 1.611454717931337655e-05 1.651977436267770827e-05 2.193683385848999023e-02
