# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 7.732303142547607422e-01 7.082036733627319336e-01 1.034640073776245117e+00
1.000000000000000000e+03 7.349091582000255585e-03 7.491219788789749146e-03 1.478476524353027344e-01
2.000000000000000000e+03 3.010720480233430862e-03 3.148808376863598824e-03 9.857130795717239380e-02
3.000000000000000000e+03 2.053762553259730339e-03 2.199271693825721741e-03 8.264355361461639404e-02
4.000000000000000000e+03 1.167985494248569012e-03 1.190124428831040859e-03 6.265458464622497559e-02
5.000000000000000000e+03 8.406374254263937473e-04 8.624174515716731548e-04 5.357050523161888123e-02
6.000000000000000000e+03 5.995261017233133316e-04 6.252105813473463058e-04 4.544933140277862549e-02
7.000000000000000000e+03 4.814749991055577993e-04 5.056254449300467968e-04 4.227884858846664429e-02
8.000000000000000000e+03 2.893215278163552284e-04 2.924032451119273901e-04 3.121848031878471375e-02
9.000000000000000000e+03 2.442120749037712812e-04 2.450463362038135529e-04 2.865305729210376740e-02
1.000000000000000000e+04 2.168697246816009283e-04 2.168595383409410715e-04 2.701036259531974792e-02
